# Payment Transaction Log
# Format: transactionId|timestamp|userId|amount|status|paymentMethod

txn_01HZ7X2TGP81K9Q|2025-04-16T23:45:32.123Z|105|49.99|success|stripe
txn_01HZ7X4RF39VN2A|2025-04-16T23:46:11.543Z|203|29.99|success|stripe
txn_01HZ7X6KL59QMPB|2025-04-16T23:49:07.887Z|167|19.99|success|stripe
txn_01HZ7X9WD74KTMC|2025-04-16T23:52:31.222Z|118|99.99|success|stripe
txn_01HZ7XB3E78DPSD|2025-04-16T23:55:18.765Z|241|14.99|success|paypal
txn_01HZ7XDR983HFTE|2025-04-16T23:59:44.102Z|132|79.99|success|stripe
txn_01HZ7XFF101GPUF|2025-04-17T00:02:13.540Z|198|59.99|success|stripe
txn_01HZ7XH6Q24HRJG|2025-04-17T00:05:27.901Z|172|39.99|success|paypal
txn_01HZ7XJK342JSLH|2025-04-17T00:08:54.329Z|209|24.99|success|stripe
txn_01HZ7XLR453LGNI|2025-04-17T00:11:22.678Z|144|34.99|success|stripe
