# Authentication Security Log
# Format: timestamp|userId|username|eventType|status|ipAddress|userAgent|details

2025-04-16T23:29:30.123Z|105|jdoe|login|success|192.168.1.25|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Login from recognized device
2025-04-16T23:31:15.456Z|203|asmith|login|success|192.168.1.30|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)|Login from recognized device
2025-04-16T23:34:22.789Z|132|rjones|login|success|192.168.1.55|Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)|Login from mobile device
2025-04-16T23:36:48.321Z|204|mwilson|login|failed|192.168.1.40|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Invalid password (attempt 1)
2025-04-16T23:37:05.654Z|204|mwilson|login|failed|192.168.1.40|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Invalid password (attempt 2)
2025-04-16T23:37:25.987Z|204|mwilson|login|success|192.168.1.40|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Login successful after failed attempts
2025-04-16T23:40:11.321Z|null|unknown|login|failed|192.168.1.100|Mozilla/5.0 (Linux; Android 11; SM-G998B)|Account not found (username: nonexistent)
2025-04-16T23:42:37.654Z|105|jdoe|password_reset|initiated|192.168.1.25|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Password reset email sent
2025-04-16T23:45:52.987Z|105|jdoe|password_reset|completed|192.168.1.25|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Password successfully reset
2025-04-16T23:48:19.321Z|105|jdoe|login|success|192.168.1.25|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Login with new password
2025-04-16T23:51:42.654Z|null|unknown|login|failed|10.20.30.40|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Multiple rapid login attempts detected - potential brute force
2025-04-16T23:52:01.987Z|null|unknown|login|blocked|10.20.30.40|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|Temporarily blocked - rate limit exceeded
2025-04-16T23:55:34.321Z|205|jthomas|login|success|192.168.1.60|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)|Login from new location - required 2FA
2025-04-16T23:58:47.654Z|206|klee|account_created|success|192.168.1.70|Mozilla/5.0 (iPad; CPU OS 15_0 like Mac OS X)|New user account created
2025-04-17T00:02:21.987Z|206|klee|login|success|192.168.1.70|Mozilla/5.0 (iPad; CPU OS 15_0 like Mac OS X)|First login after account creation
2025-04-17T00:05:45.321Z|207|dgarcia|account_created|success|192.168.1.80|Mozilla/5.0 (Linux; Android 12; Pixel 6)|New user account created
2025-04-17T00:08:23.654Z|207|dgarcia|login|success|192.168.1.80|Mozilla/5.0 (Linux; Android 12; Pixel 6)|First login after account creation
2025-04-17T00:12:59.987Z|132|rjones|logout|success|192.168.1.55|Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)|User initiated logout
2025-04-17T00:15:21.321Z|208|bnguyen|account_created|success|192.168.1.90|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|New user account created
2025-04-17T00:18:47.654Z|208|bnguyen|login|success|192.168.1.90|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|First login after account creation
